Date,AQI,City
2020-02-12,320,Delhi
2020-02-13,241,Delhi
2020-02-14,173,Delhi
2020-02-15,167,Delhi
2020-02-16,247,Delhi
2020-02-17,293,Delhi
2020-02-18,252,Delhi
2020-02-19,272,Delhi
2020-02-20,230,Delhi
2020-02-21,144,Delhi
2020-02-22,100,Delhi
2020-02-23,225,Delhi
2020-02-24,142,Delhi
2020-02-25,249,Delhi
2020-02-26,274,Delhi
2020-02-27,233,Delhi
2020-02-28,198,Delhi
2020-03-01,90,Delhi
2020-03-02,205,Delhi
2020-03-03,205,Delhi
2020-03-04,195,Delhi
2020-03-05,79,Delhi
2020-03-06,64,Delhi
2020-03-07,67,Delhi
2020-03-08,164,Delhi
2020-03-09,123,Delhi
2020-03-10,188,Delhi
2020-03-11,116,Delhi
2020-03-12,127,Delhi
2020-03-13,173,Delhi
2020-03-14,108,Delhi
2020-03-15,131,Delhi
2020-03-16,139,Delhi
2020-03-17,157,Delhi
2020-03-18,151,Delhi
2020-03-19,186,Delhi
2020-03-20,192,Delhi
2020-03-21,186,Delhi
2020-03-22,191,Delhi
2020-03-23,124,Delhi
2020-03-24,122,Delhi
2020-03-25,77,Delhi
2020-03-26,92,Delhi
2020-03-27,69,Delhi
2020-03-28,45,Delhi
2020-03-29,62,Delhi
2020-03-30,71,Delhi
2020-03-31,76,Delhi
2020-04-01,73,Delhi
2020-04-02,69,Delhi
2020-04-03,79,Delhi
2020-04-04,87,Delhi
2020-04-05,102,Delhi
2020-04-06,142,Delhi
2020-04-07,90,Delhi
2020-04-08,83,Delhi
2020-04-09,86,Delhi
2020-04-10,118,Delhi
2020-04-11,124,Delhi
2020-04-12,94,Delhi
2020-04-13,126,Delhi
2020-04-14,130,Delhi
2020-04-15,155,Delhi
2020-04-16,180,Delhi
2020-04-17,105,Delhi
2020-04-18,98,Delhi
2020-04-19,85,Delhi
2020-04-20,119,Delhi
2020-04-21,87,Delhi
2020-04-22,131,Delhi
2020-04-23,122,Delhi
2020-04-24,139,Delhi
2020-04-25,98,Delhi
2020-04-26,117,Delhi
2020-04-27,89,Delhi
2020-04-28,100,Delhi
2020-04-29,125,Delhi
2020-04-30,138,Delhi
2020-05-01,146,Delhi
2020-05-02,112,Delhi
2020-05-03,93,Delhi
2020-05-04,94,Delhi
2020-05-05,119,Delhi
2020-05-06,139,Delhi
2020-05-07,127,Delhi
2020-05-08,134,Delhi
2020-05-09,144,Delhi
2020-05-10,121,Delhi
2020-05-11,116,Delhi
2020-05-12,125,Delhi
2020-05-13,150,Delhi
2020-05-14,149,Delhi
2020-05-15,123,Delhi
2020-05-16,179,Delhi
2020-05-17,200,Delhi
2020-05-18,206,Delhi
2020-05-19,212,Delhi
2020-05-20,166,Delhi
2020-05-21,147,Delhi
2020-05-22,199,Delhi
2020-05-23,181,Delhi
2020-05-24,172,Delhi
2020-05-25,153,Delhi
2020-05-26,154,Delhi
2020-05-27,156,Delhi
2020-05-28,188,Delhi
2020-05-29,101,Delhi
2020-05-30,78,Delhi
2020-05-31,72,Delhi
2020-06-01,104,Delhi
2020-06-02,124,Delhi
2020-06-03,122,Delhi
2020-06-04,153,Delhi
2020-06-05,111,Delhi
2020-06-06,102,Delhi
2020-06-07,107,Delhi
2020-06-08,108,Delhi
2020-06-09,139,Delhi
2020-06-10,152,Delhi
2020-06-11,141,Delhi
2020-06-12,153,Delhi
2020-06-13,123,Delhi
2020-06-14,154,Delhi
2020-06-15,115,Delhi
2020-06-16,118,Delhi
2020-06-17,109,Delhi
2020-06-18,95,Delhi
2020-06-19,148,Delhi
2020-06-20,149,Delhi
2020-06-21,98,Delhi
2020-06-22,92,Delhi
2020-06-23,76,Delhi
2020-06-24,66,Delhi
2020-06-25,85,Delhi
2020-06-26,105,Delhi
2020-06-27,108,Delhi
2020-06-28,209,Delhi
2020-06-29,230,Delhi
2020-06-30,102,Delhi
2020-07-01,117,Delhi
2020-07-02,127,Delhi
2020-07-03,156,Delhi
2020-07-04,105,Delhi
2020-07-05,90,Delhi
2020-07-06,90,Delhi
2020-07-07,65,Delhi
2020-07-08,51,Delhi
2020-07-09,78,Delhi
2020-07-10,67,Delhi
2020-07-11,68,Delhi
2020-07-12,71,Delhi
2020-07-13,72,Delhi
2020-07-14,127,Delhi
2020-07-15,124,Delhi
2020-07-16,72,Delhi
2020-07-17,79,Delhi
2020-07-18,92,Delhi
2020-07-19,65,Delhi
2020-07-20,60,Delhi
2020-07-21,61,Delhi
2020-07-22,59,Delhi
2020-07-23,65,Delhi
2020-07-24,100,Delhi
2020-07-25,67,Delhi
2020-07-26,78,Delhi
2020-07-27,100,Delhi
2020-07-28,72,Delhi
2020-07-29,90,Delhi
2020-07-30,55,Delhi
2020-07-31,75,Delhi
2020-08-01,81,Delhi
2020-08-02,61,Delhi
2020-08-03,67,Delhi
2020-08-04,62,Delhi
2020-08-05,86,Delhi
2020-08-06,69,Delhi
2020-08-07,54,Delhi
2020-08-08,87,Delhi
2020-08-09,74,Delhi
2020-08-10,72,Delhi
2020-08-11,75,Delhi
2020-08-12,63,Delhi
2020-08-13,50,Delhi
2020-08-14,58,Delhi
2020-08-15,67,Delhi
2020-08-16,52,Delhi
2020-08-17,66,Delhi
2020-08-18,72,Delhi
2020-08-19,57,Delhi
2020-08-20,50,Delhi
2020-08-21,57,Delhi
2020-08-22,53,Delhi
2020-08-23,53,Delhi
2020-08-24,45,Delhi
2020-08-25,61,Delhi
2020-08-26,57,Delhi
2020-08-27,64,Delhi
2020-08-28,79,Delhi
2020-08-29,77,Delhi
2020-08-30,70,Delhi
2020-08-31,41,Delhi
2020-09-01,53,Delhi
2020-09-02,69,Delhi
2020-09-03,84,Delhi
2020-09-04,82,Delhi
2020-09-05,101,Delhi
2020-09-06,70,Delhi
2020-09-07,93,Delhi
2020-09-08,79,Delhi
2020-09-09,105,Delhi
2020-09-10,108,Delhi
2020-09-11,136,Delhi
2020-09-12,144,Delhi
2020-09-13,142,Delhi
2020-09-14,152,Delhi
2020-09-15,144,Delhi
2020-09-16,151,Delhi
2020-09-17,120,Delhi
2020-09-18,108,Delhi
2020-09-19,118,Delhi
2020-09-20,148,Delhi
2020-09-21,142,Delhi
2020-09-22,115,Delhi
2020-09-23,76,Delhi
2020-09-24,104,Delhi
2020-09-25,143,Delhi
